raceId,driverId,stop,lap,time,duration,milliseconds
1104,807,1,1,15:04:32,32.494,32494
1104,855,1,1,15:04:37,26.141,26141
1104,815,1,1,15:04:37,24.887,24887
1104,848,1,18,15:27:12,24.290,24290
1104,858,1,20,15:30:02,24.376,24376
1104,858,2,23,15:34:16,27.774,27774
1104,1,1,31,15:43:34,24.594,24594
1104,839,1,32,15:44:45,25.833,25833
1104,832,1,33,15:46:05,24.252,24252
1104,815,2,34,15:48:26,32.749,32749
1104,844,1,44,16:00:25,24.192,24192
1104,842,1,47,16:04:16,23.902,23902
1104,846,1,50,16:08:48,24.663,24663
1104,822,1,51,16:10:46,30.395,30395
1104,840,1,51,16:10:52,24.656,24656
1104,855,2,52,16:12:35,25.260,25260
1104,848,2,52,16:12:37,26.990,26990
1104,852,1,53,16:13:18,33.706,33706
1104,858,3,52,16:13:19,25.946,25946
1104,4,1,54,16:13:32,24.414,24414
1104,856,1,53,16:13:47,24.539,24539
1104,847,1,54,16:13:57,30.980,30980
1104,839,2,54,16:14:06,24.707,24707
1104,1,2,54,16:14:09,26.685,26685
1104,842,2,54,16:14:18,29.949,29949
1104,815,3,53,16:14:19,24.217,24217
1104,830,1,55,16:15:17,24.798,24798
1104,857,1,54,16:15:18,25.851,25851
1104,846,2,54,16:15:20,33.428,33428
1104,4,2,55,16:15:37,25.916,25916
1104,807,2,54,16:16:01,34.725,34725
1104,844,2,55,16:16:03,25.713,25713
1104,832,2,55,16:16:04,29.300,29300
1104,825,1,56,16:20:26,51.052,51052
1104,815,4,57,16:21:27,29.337,29337
1104,807,3,59,16:25:02,25.672,25672
1104,815,5,70,16:43:16,25.466,25466
