raceId,driverId,stop,lap,time,duration,milliseconds
1102,858,1,2,15:37:09,48.938,48938
1102,846,1,4,15:40:18,24.090,24090
1102,857,1,5,15:41:49,22.205,22205
1102,825,1,14,15:55:45,22.616,22616
1102,842,1,15,15:57:16,22.417,22417
1102,822,1,15,15:57:23,23.158,23158
1102,856,1,15,15:57:33,23.487,23487
1102,847,1,17,16:00:18,22.335,22335
1102,844,1,17,16:00:25,22.068,22068
1102,832,1,18,16:01:46,22.278,22278
1102,815,1,20,16:04:48,21.884,21884
1102,848,1,22,16:08:22,22.482,22482
1102,4,1,24,16:11:02,22.631,22631
1102,855,1,31,16:22:27,22.796,22796
1102,807,1,33,16:25:26,23.120,23120
1102,852,1,36,16:30:01,22.390,22390
1102,1,1,37,16:31:29,22.150,22150
1102,839,1,39,16:34:33,21.942,21942
1102,840,1,42,16:39:18,22.651,22651
1102,830,1,45,16:42:58,22.688,22688
