resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
25866,1099,815,9,11,1,1,1,1,25,50,1:21:14.894,4874894,38,2,1:32.188,241.098,1
25867,1099,830,9,1,15,2,2,2,19,50,+5.355,4880249,50,1,1:31.906,241.838,1
25868,1099,4,117,14,2,3,3,3,15,50,+20.728,4895622,50,3,1:32.240,240.962,1
25869,1099,847,131,63,3,4,4,4,12,50,+25.866,4900760,50,4,1:32.433,240.459,1
25870,1099,1,131,44,7,5,5,5,10,50,+31.065,4905959,47,6,1:32.941,239.145,1
25871,1099,832,6,55,4,6,6,6,8,50,+35.876,4910770,50,5,1:32.822,239.451,1
25872,1099,844,6,16,12,7,7,7,6,50,+43.162,4918056,47,7,1:33.056,238.849,1
25873,1099,839,214,31,6,8,8,8,4,50,+52.832,4927726,49,8,1:33.222,238.424,1
25874,1099,842,214,10,9,9,9,9,2,50,+54.747,4929641,50,10,1:33.392,237.990,1
25875,1099,825,210,20,13,10,10,10,1,50,+1:04.826,4939720,44,9,1:33.374,238.036,1
25876,1099,852,213,22,16,11,11,11,0,50,+1:07.494,4942388,50,14,1:33.931,236.624,1
25877,1099,807,210,27,10,12,12,12,0,50,+1:10.588,4945482,50,12,1:33.780,237.005,1
25878,1099,855,51,24,11,13,13,13,0,50,+1:16.060,4950954,49,13,1:33.894,236.718,1
25879,1099,856,213,21,18,14,14,14,0,50,+1:17.478,4952372,49,11,1:33.609,237.438,1
25880,1099,857,1,81,8,15,15,15,0,50,+1:25.021,4959915,48,16,1:34.287,235.731,1
25881,1099,858,3,2,20,16,16,16,0,50,+1:26.293,4961187,49,18,1:34.469,235.277,1
25882,1099,846,1,4,19,17,17,17,0,50,+1:26.445,4961339,49,15,1:34.122,236.144,1
25883,1099,822,51,77,14,18,18,18,0,49,\N,\N,37,17,1:34.384,235.489,11
25884,1099,848,3,23,17,\N,R,19,0,27,\N,\N,24,20,1:35.567,232.574,23
25885,1099,840,117,18,5,\N,R,20,0,16,\N,\N,7,19,1:35.140,233.617,5
