raceId,driverId,stop,lap,time,duration,milliseconds
1099,857,1,1,20:05:36,31.534,31534
1099,846,1,2,20:07:18,29.444,29444
1099,825,1,8,20:16:55,20.870,20870
1099,822,1,9,20:18:38,21.505,21505
1099,855,1,11,20:21:41,21.703,21703
1099,807,1,11,20:21:43,21.567,21567
1099,840,1,13,20:24:39,21.150,21150
1099,842,1,14,20:26:26,20.719,20719
1099,832,1,15,20:27:49,20.760,20760
1099,844,1,16,20:29:29,20.026,20026
1099,839,1,16,20:29:34,20.762,20762
1099,852,1,17,20:31:24,21.414,21414
1099,848,1,17,20:31:32,21.397,21397
1099,856,1,17,20:31:39,21.116,21116
1099,822,2,17,20:32:08,22.191,22191
1099,815,1,18,20:32:46,20.715,20715
1099,4,1,18,20:32:54,26.879,26879
1099,847,1,18,20:33:05,20.828,20828
1099,830,1,18,20:33:15,20.824,20824
1099,1,1,18,20:33:24,21.102,21102
1099,858,1,18,20:33:55,21.064,21064
1099,855,2,18,20:34:06,21.282,21282
1099,846,2,19,20:36:25,21.352,21352
1099,822,3,35,21:02:57,21.808,21808
